Puntaje obtenido	Número de movimientos	Número de Singletons Finales	Jugada con mayor puntaje	Solución+(secuencia de Jugadas)	Matriz
862	54	28	156	[10,0][13,5][12,8][3,13][9,12][6,7][12,6][10,5][13,12][7,7][13,13][7,4][7,2][7,2][11,3][9,14][4,11][13,3][13,3][13,1][12,13][11,0][6,1][12,7][4,11][13,5][6,0][9,5][13,10][9,2][13,8][10,1][14,13][12,3][13,11][14,7][14,9][14,9][12,4][11,7][10,10][11,12][14,7][9,2][12,11][11,2][13,8][12,6][13,11][13,10][13,8][14,8][13,3][13,12]	5  2  2  4  1  1  4  4  2  4  3  3  1  3  2  
					4  5  2  4  4  5  1  4  3  5  1  1  5  2  1  
					3  5  5  5  2  4  4  5  1  3  3  3  5  5  3  
					5  4  1  4  3  5  3  2  3  4  5  2  3  2  2  
					2  3  3  2  1  4  1  5  4  4  1  5  2  5  2  
					4  5  2  3  1  3  5  1  2  2  5  2  4  1  4  
					3  5  3  1  1  5  4  4  1  5  4  5  1  2  1  
					4  4  5  2  4  1  2  3  5  5  2  3  2  2  3  
					2  5  1  4  3  1  3  5  1  2  5  1  5  4  2  
					2  3  2  1  5  4  4  2  1  1  3  5  2  4  2  
					3  5  3  5  5  3  4  3  1  1  2  3  2  2  5  
					3  3  3  5  5  2  4  4  1  2  5  2  2  5  4  
					2  1  4  5  2  1  1  1  3  3  5  1  5  3  5  
					4  1  4  1  2  2  1  4  2  3  5  5  5  1  5  
					5  4  1  4  4  1  2  4  1  2  2  2  5  4  2  
					

